id,TotalCycle_h,Weight_T,SoakingTime_h,TargetTemp_C,EnergyConsumption_m3
5787,0.3506,7.595,5,620,NULL
5786,3.3886,55.555,3,930,102.19
5785,12.2658,5.795,5,930,610.5
5784,4.7456,5.439,3,620,149.59
5783,7.4506,5.439,3,930,385.72
5782,5.3814,4.992,4,550,162.87
5781,10.7597,4.992,4,900,562.78
5780,4.7919,6.739,3,620,174.48
5779,7.9350,6.739,3,930,428.85
5778,4.6642,5.248,3,620,157.46
5777,0.1775,5.248,3,620,NULL
5776,7.4772,5.248,3,930,383.08
5775,4.7928,6.683,3,620,172.91
5774,7.8733,6.683,3,930,425.68
5773,4.7986,4.56,3,620,144.32
5772,7.4967,4.56,3,930,373.26
5771,4.8894,6.89,3,620,188.43
5770,8.2889,6.89,3,930,459.84
5769,4.9625,7.571,3,620,191.76
5768,7.9331,7.571,3,930,427.72
5767,7.8847,6.739,3,930,434.03
5766,4.6797,6.097,3,610,178.26
5765,7.8881,6.097,3,930,463.2
5764,7.1006,9.124,5,650,285.58
5763,8.0658,6.179,3,930,463.48
5762,4.9183,5.84,3,620,166.96
5761,7.3467,5.84,3,930,390.77
5760,4.6964,5.248,3,620,162.62
5759,7.3156,5.248,3,930,393.49
5758,4.8128,5.66,3,620,192.45
5757,6.0606,4.992,4,550,185.27
5756,8.6242,4.992,4,900,467.52
5755,7.9239,5.66,3.5,930,433.01
5754,4.7147,6.739,3,620,174.42
5753,7.6044,6.739,3,930,418.39
5752,5.0222,4.608,3,620,160.43
5751,7.6964,4.608,3,930,368.91
5750,4.7431,6.61,3,620,164.65
5749,7.8706,6.61,3,930,400.87
5748,0.3581,6.61,3,930,NULL
5747,4.8164,6.739,3,620,164.55
5746,7.5906,6.739,3,930,415.88
5745,4.6844,5.747,3,620,168.03
5744,7.5767,5.747,3,930,349.88
5743,4.8578,7.657,3,620,212.86
5742,5.1969,5.632,3,620,205.76
5741,8.7197,7.657,3,930,467.11
5740,7.7731,5.632,3,930,450.82
5739,4.7144,5.796,3,620,153.98
5738,7.2669,5.796,3,930,398.78
5737,5.3619,2.496,4,550,123.39
5736,9.8594,6.9,5,900,520.98
5735,4.5956,4.248,3,620,148.05
5734,7.4228,5.248,3,930,380.75
5733,4.6711,5.248,3,620,152.89
5732,6.9739,5.248,3,930,375.61
5731,4.7250,6.646,3,620,171.76
5730,7.8511,6.646,3,930,432.29
5729,5.8342,6.478,3,620,211.31
5728,8.1511,6.478,3,930,448.9
5727,4.7833,6.424,3,620,174.78
5726,8.0211,6.424,3,930,409.45
5725,4.7481,6.73,3,620,174.68
5724,7.7489,6.73,3,930,432.26
5723,4.8764,7.733,3,620,190.47
5722,8.9153,7.733,3,930,493.44
5721,4.8078,4.308,3,620,154.95
5720,7.9803,6.337,3,930,460.87
5719,4.8636,6.734,3,620,184.99
5718,7.5244,6.739,3,930,403.68
5717,7.3664,6.478,3,930,393.09
5716,4.7142,5.008,3,620,155.34
5715,6.8689,5.008,3,930,321.1
5714,7.0003,5.248,3,930,356.54
5713,4.8386,6.883,3,620,196.29
5712,4.7519,6.552,3,620,173.63
5711,7.1519,6.552,3,930,407.42
5710,7.2778,6.883,3,930,376.76
5709,4.7172,6.502,3,620,167.97
5708,7.4097,6.502,3,930,410.92
5707,5.2819,7.311,3,620,228.8
5706,5.7839,4.296,4,620,174.25
5705,7.7736,4.296,4,930,357.99
5704,7.8786,7.311,3,930,450.67
5703,5.0181,6.982,3,620,208.6
5702,7.9917,6.982,3,930,486.52
5701,5.3831,3.744,4,550,156.91
5700,9.4539,3.744,4,900,497.88
5699,5.5703,8.117,3,620,207.56
5698,7.8636,8.117,3,930,464.8
5697,4.6650,6.739,3,620,154.22
5696,7.4578,6.739,3,930,420.84
5695,4.8239,6.953,3,620,219.75
5694,3.5589,6.773,2,590,138.85
5693,9.7156,6.953,3,930,499.07
5692,4.8253,5.248,3,620,123.83
5691,7.3042,5.248,3,930,371.83
5690,4.6944,5.248,3,620,158.53
5689,7.0844,5.248,3,930,363.21
5688,4.6592,5.495,3,620,162.79
5687,7.4197,5.495,3,930,411.66
5686,4.6983,6.454,3,620,170.76
5685,7.2922,6.454,3,930,414.21
5684,4.7183,4.48,3,620,150.67
5683,7.1828,4.48,3,930,367.62
5682,4.7978,7.778,3,620,187.91
5681,7.6311,7.778,3,930,441.22
5680,5.2186,6.08,3.5,620,130.9
5679,7.8394,6.08,3.5,930,405.07
5678,5.2403,7.854,3,620,182.63
5677,8.1500,7.854,3,930,444.4
5676,4.7183,6.552,3,620,167.83
5675,7.3108,6.552,3,930,398.89
5674,4.7417,7.194,3,620,179.77
5673,7.8931,7.194,3,930,409.67
5672,5.5464,111.111,5,900,234.93
5671,5.9247,7.992,5,900,383.15
5670,5.0403,5.429,3,620,196.36
5669,4.7586,5.759,3,620,162.52
5668,7.1383,5.759,3,930,336.94
5667,7.7092,5.429,3,930,403.5
5666,3.5758,6.738,2,590,135.13
5665,4.6653,5.248,3,620,140.39
5664,6.9522,5.248,3,930,343.01
5663,5.1589,6.899,3.5,620,180.33
5662,8.0025,6.899,3.5,930,425.96
5661,5.0558,4.56,3,620,167.65
5660,4.7083,5.248,3,620,135.53
5659,6.7253,5.248,3,930,299
5658,6.8058,4.608,3,930,304.74
5657,4.6792,4.608,3,620,136.61
5656,7.4478,4.608,3,930,297.38
5655,4.6992,5.399,3,620,180.39
5654,7.2992,5.399,3,930,434.31
5653,5.2172,5.87,3.5,620,193.09
5652,8.0161,6.08,3.5,930,470.11
5651,4.9264,7.089,3,620,242.98
5650,5.4078,4.784,4,550,174
5649,7.5161,7.079,3,930,444.69
5648,NULL,7.079,3,930,NULL
5647,8.4908,4.784,4,900,525.08
5646,5.5964,8.401,3,620,260.92
5645,4.7364,6.239,3,620,184.5
